|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
    11.964392    33.545235    0.184304      17        0        3
    11.973843    33.635002    0.221459      17        0        3
    11.983292    33.786221    0.198131      17        0        3
    11.992739    33.561787    0.193530      17        0        3
    12.002184    33.888676    0.202763      17        0        3
    12.011629    34.062721    0.161190      17        0        3
    12.021070    34.004299    0.312593      17        0        3
    12.030512    34.099277    0.286304      17        0        3
    12.039951    34.187523    0.325372      17        0        3
    12.049389    34.317039    0.196686      17        0        3
    12.058825    34.136173    0.158525      17        0        3
    12.068260    34.591049    0.154530      17        0        3
    12.077692    34.243046    0.244272      17        0        3
    12.087124    34.607162    0.141673      17        0        3
    12.096554    34.517056    0.139695      17        0        3
    12.105982    34.641449    0.249282      17        0        3
    12.115408    34.603870    0.285978      17        0        3
    12.124834    34.704842    0.210914      17        0        3
    12.134256    34.916332    0.305682      17        0        3
    12.143679    35.299583    0.252695      17        0        3
    12.153099    35.147141    0.272284      17        0        3
    12.162518    35.320984    3.028902      17        0        3
    12.171936    35.327877    0.274168      17        0        3
    12.181351    35.575237    0.179010      17        0        3
    12.190764    35.361469    0.337921      17        0        3
    12.200177    35.285751    0.293693      17        0        3
    12.209588    35.539875    0.321010      17        0        3
    12.218998    35.694286    0.306720      17        0        3
    12.228405    35.523342    0.365190      17        0        3
    12.237811    35.288364    0.232718      17        0        3
    12.247215    35.981102    0.338272      17        0        3
    12.256618    35.690048    0.206140      17        0        3
    12.266020    36.029457    0.259118      17        0        3
    12.275419    36.051517    0.305731      17        0        3
    12.284819    36.089931    0.352884      17        0        3
    12.294215    36.264446    0.326314      17        0        3
    12.303610    36.668507    3.120443      17        0        3
    12.313004    36.501678    0.320464      17        0        3
    12.322395    37.408245    3.254651      17        0        3
    12.331787    36.487797    0.274537      17        0        3
    12.341175    36.555058    0.374165      17        0        3
    12.350563    36.894089    0.357347      17        0        3
    12.359948    36.744923    0.266599      17        0        3
    12.369333    37.003372    0.270867      17        0        3
    12.378716    36.981106    0.287524      17        0        3
    12.388096    37.100166    0.270210      17        0        3
    12.397476    36.859230    0.366043      17        0        3
    12.406854          nan         nan      17        0        3
    12.416230          nan         nan      17        0        3
    12.425606          nan         nan      17        0        3
    12.434978          nan         nan      17        0        3
    12.444350          nan         nan      17        0        3
    12.453720          nan         nan      17        0        3
    12.463089          nan         nan      17        0        3
    12.472456          nan         nan      17        0        3
    12.481821          nan         nan      17        0        3
    12.491186          nan         nan      17        0        3
    12.307955          nan         nan      16        0        4
    12.318050          nan         nan      16        0        4
    12.328146          nan         nan      16        0        4
    12.338239          nan         nan      16        0        4
    12.348330          nan         nan      16        0        4
    12.358419          nan         nan      16        0        4
    12.368507          nan         nan      16        0        4
    12.378594          nan         nan      16        0        4
    12.388679          nan         nan      16        0        4
    12.398762          nan         nan      16        0        4
    12.408842    35.848835    0.370945      16        0        4
    12.418926    34.615856    0.393331      16        0        4
    12.429008    35.324959    0.247523      16        0        4
    12.439085    35.373161    0.333152      16        0        4
    12.449160    35.185818    0.284003      16        0        4
    12.459230    35.369064    0.431623      16        0        4
    12.469302    35.489563    0.347394      16        0        4
    12.479371    35.520435    0.324397      16        0        4
    12.489439    35.864758    0.242200      16        0        4
    12.499504    35.313278    0.192694      16        0        4
    12.509567    35.795563    0.221218      16        0        4
    12.519630    35.857693    0.257105      16        0        4
    12.529691    35.908596    0.224129      16        0        4
    12.539749    35.606293    0.205384      16        0        4
    12.549807    35.084732    1.460352      16        0        4
    12.559862    35.962265    0.256991      16        0        4
    12.569916    36.379959    0.227290      16        0        4
    12.579967    35.449341    1.538350      16        0        4
    12.590017    36.097778    0.211344      16        0        4
    12.600065    36.308002    0.273670      16        0        4
    12.610113    36.402679    0.254564      16        0        4
    12.620158    35.907650    1.208607      16        0        4
    12.630201    35.927868    0.231710      16        0        4
    12.640244    36.504047    0.357178      16        0        4
    12.650288    36.142860    0.182224      16        0        4
    12.660331    35.962887    0.165893      16        0        4
    12.670367    36.323639    0.205808      16        0        4
    12.680403    36.426212    0.201575      16        0        4
    12.690435    36.754452    0.112865      16        0        4
    12.700466    36.566841    0.105330      16        0        4
    12.710497    36.879101    0.108454      16        0        4
    12.720524    36.632298    0.084660      16        0        4
    12.730551    36.872753    2.593162      16        0        4
    12.740576    36.700310    1.301977      16        0        4
    12.750599    36.705185    0.137777      16        0        4
    12.760620    37.161053    0.109484      16        0        4
    12.770639    37.083202    0.141987      16        0        4
    12.780657    37.239120    0.141265      16        0        4
    12.790674    36.699036    1.486522      16        0        4
    12.800688    37.337166    0.175103      16        0        4
    12.810700    37.553131    0.161989      16        0        4
    12.820712    38.030586    0.158602      16        0        4
    12.830721    38.525387    0.222594      16        0        4
    12.840729    40.498245    0.225265      16        0        4
    12.850735    43.064590    0.296212      16        0        4
    12.860740    43.778534    0.196262      16        0        4
    12.870743    40.297260    0.241211      16        0        4
    12.880743    39.154766    0.196758      16        0        4
    12.890743    38.393681    0.215269      16        0        4
    12.900741    38.046173    0.209068      16        0        4
    12.910736    37.801517    0.092015      16        0        4
    12.920731    37.757774    0.108878      16        0        4
    12.930723    37.801483    0.109694      16        0        4
    12.940714    37.446430    0.107155      16        0        4
    12.950704    38.207745    0.098231      16        0        4
    12.960691    37.348839    0.101327      16        0        4
    12.970676    38.231262    0.097691      16        0        4
    12.980661    37.482666    0.108746      16        0        4
    12.990644    38.398766    0.087500      16        0        4
    13.000625    37.448994    0.095693      16        0        4
    13.010603    38.426373    0.101241      16        0        4
    13.020580    38.184586    0.114134      16        0        4
    13.030557    38.150345    0.126556      16        0        4
    13.040531    38.308247    0.131337      16        0        4
    13.050504    38.322620    0.125478      16        0        4
    13.060474    38.273247    0.135380      16        0        4
    13.070444    38.318588    0.103053      16        0        4
    13.080411    38.741356    0.080394      16        0        4
    13.090377    38.053589    0.096453      16        0        4
    13.100341    38.947624    0.100334      16        0        4
    13.110304    38.370148    0.150105      16        0        4
    13.120264    39.116379    0.132178      16        0        4
    13.130223    38.795944    0.110043      16        0        4
    13.140181    39.582283    0.116749      16        0        4
    13.150137    39.341812    0.189589      16        0        4
    13.160091    39.114269    0.134314      16        0        4
    13.170043    39.186722    2.815697      16        0        4
    13.179994    39.026234    0.162864      16        0        4
    13.189943    38.968094    0.217972      16        0        4
    13.199890    39.027588    0.170601      16        0        4
    13.209837          nan         nan      16        0        4
    13.219781          nan         nan      16        0        4
    13.229723          nan         nan      16        0        4
    13.239664          nan         nan      16        0        4
    13.249603          nan         nan      16        0        4
    13.259541          nan         nan      16        0        4
    13.269477          nan         nan      16        0        4
    13.279411          nan         nan      16        0        4
    13.289343          nan         nan      16        0        4
    13.299274          nan         nan      16        0        4
    13.309198          nan         nan      16        0        4
    13.319121          nan         nan      16        0        4
    13.329047          nan         nan      16        0        4
    13.338971          nan         nan      16        0        4
    13.348894          nan         nan      16        0        4
    13.358815          nan         nan      16        0        4
    13.368734          nan         nan      16        0        4
    13.378653          nan         nan      16        0        4
    13.388569          nan         nan      16        0        4
    13.398483          nan         nan      16        0        4
    13.103533          nan         nan      15        0        5
    13.114290          nan         nan      15        0        5
    13.125046          nan         nan      15        0        5
    13.135799          nan         nan      15        0        5
    13.146560          nan         nan      15        0        5
    13.157318          nan         nan      15        0        5
    13.168066          nan         nan      15        0        5
    13.178813          nan         nan      15        0        5
    13.189557          nan         nan      15        0        5
    13.200300    37.375206    0.173483      15        0        5
    13.211040    37.561687    0.119555      15        0        5
    13.221781    37.724957    0.165028      15        0        5
    13.232518    37.865963    0.214156      15        0        5
    13.243254    37.718204    0.232421      15        0        5
    13.253986    37.503201    0.145383      15        0        5
    13.264719    37.947052    0.170506      15        0        5
    13.275449    37.941643    0.219523      15        0        5
    13.286178    38.397865    0.307572      15        0        5
    13.296904    37.995678    0.149426      15        0        5
    13.307629    38.191910    0.206356      15        0        5
    13.318352    38.423214    0.258080      15        0        5
    13.329072    38.359806    0.241451      15        0        5
    13.339800    38.012527    0.190603      15        0        5
    13.350525    38.187679    0.246289      15        0        5
    13.361240    38.227478    0.188389      15        0        5
    13.371954    38.527050    0.161609      15        0        5
    13.382666    38.057186    0.305951      15        0        5
    13.393375    38.733170    0.218691      15        0        5
    13.404084    38.664467    0.187030      15        0        5
    13.414791    39.703308    3.390826      15        0        5
    13.425495    39.261631    0.125294      15        0        5
    13.436197    39.011585    0.218043      15        0        5
